"","date_flown","aircraft_type","country","type_of_travellers","departing_dest","layover","arriving_dest","seat_types","seat_comfort","cabin_staff_service","ground_service","food_beverages","wifi_connectivity","inflight_entertainment","value_for_money","recommended"
"1","Sep-23",NA,"United Kingdom","Couple Leisure","London Heathrow",NA,"Tokyo","Economy Class",1,1,2,1,NA,3,1,"no"
"2","Aug-23",NA,"United States","Solo Leisure","Miami","London Heathrow","Dublin","Business Class",1,3,1,2,1,1,1,"no"
"3","Sep-23",NA,"United States","Business","Prague","London","San Francisco","Business Class",1,3,1,3,1,NA,1,"no"
"4","Sep-23",NA,"United Kingdom","Business","London",NA,"Glasgow","Economy Class",1,1,1,1,1,1,1,"no"
"5","Aug-23",NA,"France","Family Leisure","San Diego","London ","Marseille","Economy Class",3,2,1,3,1,3,3,"no"
"6","Aug-23","Airbus A350","Germany","Business","Hamburg","London","Las Vegas","Premium Economy",2,2,1,2,NA,3,1,"no"
"7","Jul-23",NA,"Switzerland","Family Leisure","London",NA,"Los Angeles","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"8","Sep-23","Airbus A320","United Kingdom","Couple Leisure","London Heathrow",NA,"Porto","Business Class",3,4,4,3,NA,NA,4,"yes"
"9","Sep-23",NA,"United Kingdom","Couple Leisure","London",NA,"Dalaman","Economy Class",NA,NA,3,NA,NA,NA,1,"no"
"10","Sep-23",NA,"South Africa","Solo Leisure","Johannesburg","London","Milan","Economy Class",NA,NA,NA,NA,NA,NA,2,"no"
"11","Apr-23",NA,"Canada","Business","Madrid","London","Vancouver","Business Class",3,3,1,NA,NA,NA,1,"no"
"12","Sep-23","Boeing 787","United Kingdom","Couple Leisure","London",NA,"Santiago","Business Class",3,5,2,4,NA,NA,5,"yes"
"13","Sep-23","Airbus A320","United Kingdom","Couple Leisure","London Heathrow",NA,"Faro","Business Class",NA,NA,1,NA,NA,NA,1,"no"
"14","Sep-23",NA,"Kuwait","Solo Leisure","Kuwait","London","Lisbon","Economy Class",3,1,3,1,1,1,3,"no"
"15","Sep-23","Airbus A320","Germany","Couple Leisure","London",NA,"Munich","Economy Class",1,3,1,1,1,1,1,"no"
"16","Sep-23",NA,"United Kingdom","Solo Leisure","Frankfurt",NA,"London City","Economy Class",1,NA,1,NA,NA,NA,1,"no"
"17","Aug-23","Airbus A321","Iceland","Couple Leisure","London",NA,"Keflavik","Business Class",3,4,4,3,3,NA,4,"yes"
"18","Aug-23","Boeing 777-200","Iceland","Couple Leisure","Mumbai",NA,"London","Business Class",4,3,4,3,3,3,4,"yes"
"19","Sep-23",NA,"United Kingdom","Business","Houston",NA,"London Heathrow","Premium Economy",2,4,4,3,NA,3,1,"no"
"20","Sep-23","Airbus A380","Australia","Solo Leisure","London",NA,"Miami","Business Class",1,1,3,2,NA,1,1,"no"
"21","Aug-23","Boeing 777","United Kingdom","","Los Angeles",NA,"London","Economy Class",1,1,1,1,NA,1,1,"no"
"22","Jun-23",NA,"United States","Couple Leisure","New York JFK","London","Malaga","Economy Class",1,3,1,NA,NA,NA,1,"no"
"23","Jul-23",NA,"United States","Couple Leisure","Chicago","London","Rome","Premium Economy",3,1,1,1,1,1,1,"no"
"24","Aug-23","Airbus A320","United Kingdom","Solo Leisure","London",NA,"Malaga","Business Class",1,1,1,1,1,1,1,"no"
"25","Aug-23",NA,"Germany","Solo Leisure","Frankfurt",NA,"London Heathrow","Economy Class",1,1,1,NA,NA,NA,1,"no"
"26","Aug-23","Airbus A320","United Kingdom","Couple Leisure","Tenerife",NA,"Gatwick","Business Class",1,3,1,1,1,NA,1,"no"
"27","Aug-23","Airbus A320","United Kingdom","Business","London Heathrow",NA,"Malaga ","Business Class",2,2,1,2,1,NA,2,"no"
"28","Jun-23",NA,"United Kingdom","Couple Leisure","Newark",NA,"London","Economy Class",NA,NA,NA,NA,NA,NA,1,"no"
"29","Aug-23",NA,"United Kingdom","Business","London",NA,"Johannesburg","Business Class",3,2,2,NA,NA,NA,1,"no"
"30","Aug-23","Boeing 777-300","United States","Couple Leisure","London Heathrow",NA,"Los Angeles","Business Class",4,5,5,3,NA,5,4,"yes"
"31","Dec-22",NA,"Canada","Family Leisure","Delhi","London","Vancouver","Economy Class",1,1,1,NA,NA,NA,1,"no"
